FECHA,ID_EXTERNO,NOMBRE,ALBUM,BANDA,ARTISTA,DURACION,GENERO,SUBGENERO,BANDAS_SIMILARES,TAGS,INSTRUMENTOS
04/08/20 02:01PM,1,Phased optimizing superstructure,Verde pálido,Cristóbal Cid Santamaria,Nayara Sarabia Coca,1:51,Pop,Dance,Todd Decker; Steven Webb; Nicholas Johnson; Katrina Garrett; Matthew Lang,future nostalgia; Funk; Laid Back; vibe check; Electric; Driving,Bass Guitar; Electric Guitar; Electronic Drums; Electric Piano; Shakers Maracas; Percussion; Synthesizer; Strings; Cowbell
04/08/20 03:54PM,2,Upgradable user-facing leverage,Verde pálido,Cristóbal Cid Santamaria,Nayara Sarabia Coca,2:33,Pop,Dance,Alexis Coleman; Brenda Dixon; Leslie Summers; Jonathan Adams; Paula Turner,future nostalgia; Building; Dance; Pop; fusion; Funk; Electric; Upbeat; Driving,Electric Guitar; Bass Guitar; Synthesizer; Drums; Synth Pad; Percussion
04/08/20 04:14PM,3,Visionary coherent leverage,Marrón cuero,Juan Carlos Adadia,Bibiana Pinilla,1:31,Pop,Dance,Amy Edwards; Robert Wilson; Mitchell Patton; Ashley Chapman; Misty Chambers,future nostalgia; Building; Driving; fusion; 80s synth; Dance; Electronic; Retrowave,Synthesizer; Synth Pad; Bass Guitar; Drums; Keyboards; Percussion
04/08/20 04:26PM,4,Down-sized optimal Graphic Interface,Lima,Daniela Barrios Gilabert,Shawn Patel,1:40,Hip Hop,Modern,Jeremy Taylor; Donald Morgan; Sara Rogers; Beth Walker; Keith Rodriguez,Hip Hop; Determined; Building; Suspense; Waiting; Impatience,Bells; Brass Section; Electronic Drums; Synth Bass; Synth Pad; Synthesizer; Percussion
04/08/20 04:40PM,5,Switchable heuristic synergy,Marrón cuero,Juan Carlos Adadia,Bibiana Pinilla,1:55,Pop,Dance,Aaron Moon; Hannah Green; Bonnie Parsons; Jason Avila; Robert Wilson,future nostalgia; Disco; fusion; Pop; Club; Funk; Electronic,Synth Bass; Bass Guitar; Synthesizer; Synth Pad; Tambourine; Bongos; Drums; Electronic Drums; Piano; Sound Effects; Percussion
04/08/20 08:10PM,6,Versatile motivating strategy,Gris,Eligia Llamas Menendez,Seve Jordán-Anaya,0:31,Rock,None,Kevin Lee; Derek Barrett; Holly Ward; Derek Moore; Brandy Wagner,Determined; Building; Anthemic; Motivational; Improvement; challenging,Percussion
04/09/20 01:23PM,7,Right-sized multi-state access,Rojo oscuro,Reyes Collado-Ferrera,Eusebia Colom Valcárcel,1:01,Hip Hop,Modern,Robert Johnson; Stephanie Jordan; Derek Moore; Tonya Ortega; Eric Maddox,Tense; Dramatic; Rhythmic; Emotional; Dynamic; reflective; hopeful,Piano; Synth Bass; Electronic Drums; Organ; Choir; Strings; Sound Effects; Accordion; Percussion
04/09/20 01:25PM,8,Future-proofed needs-based time-frame,Verde pálido,Cristóbal Cid Santamaria,Nayara Sarabia Coca,1:03,Electronica,Trip Hop,Christopher Fisher; David Hopkins; Michael Velasquez; Joseph Weiss; Michael Rios,emotinonal; hopeful; Serious; Uplifting; reflective; Upbeat,Drums; Electronic Drums; Synth Pad; Piano; Synth Bass; Percussion
04/09/20 01:51PM,9,Public-key neutral challenge,Oliva,Eleuterio de Alonso,Camila Herranz Zamorano,1:01,Gospel,None,Paul Fox; Stephanie Thornton; Philip Campbell; Brittney Kline; Julia Spears,Dynamic; Emotional; Heartfelt; Sentimental; Love; reflective,Piano; Choir; Organ; Strings; Bass Guitar
04/09/20 01:52PM,10,Reduced analyzing approach,Gris,Eligia Llamas Menendez,Seve Jordán-Anaya,1:40,Hip Hop,Modern,Tiffany Garcia; Chelsea Rodriguez; Eric Rice; Brian Hoffman; Randy Moore,Fun; Upbeat; Quirky; Bedroom; Edgy Hip Hop; Modern,Mellotron; Electronic Drums; Synth Bass; Percussion; Sound Effects
04/09/20 02:22PM,11,Open-architected human-resource instruction set,Verde primavera,Haydée Jáuregui Jódar,Francisca Garzón Ojeda,1:06,Orchestral,Contemporary,Kelli Gutierrez; Michael White DDS; Kristen Velez; William Johnson; Alison Haynes,hopeful; Elegant; Comfort; guidance; voice-over; Film; Inspirational; Uplifting,Piano; Strings; Marimba; Percussion
04/09/20 03:32PM,12,Reduced bifurcated success,Marrón cuero,Juan Carlos Adadia,Bibiana Pinilla,1:01,Pop,Adult Contemporary,Jeffrey Thomas; Gloria Williams; Laura Jenkins; Larry Walker; Brandon Archer,Mellow; Relaxing; Feel Good; Peaceful; Serene; Happy,Electric Guitar; Drums; Strings; Upright Bass; Violin; Cello; Synthesizer; Synth Pad; Cymbals
04/09/20 07:13PM,13,Compatible 4thgeneration approach,Azul cielo profundo,Angélica Uriarte Carrillo,Jordán Mármol Bilbao,1:39,Hip Hop,Modern,Emily Acosta; Amy Harris; Allison Kennedy; Laura Stokes; Robert Johnson,Build Up; level up; Suspense; Dramatic; Anthem; Modern,Drums; Bass Guitar; Synth Pad; Strings; Percussion
04/13/20 11:59AM,14,Triple-buffered multi-state hub,Marrón madera rústica,Claudio Albino Fabra Gual,Armando Galán,1:00,Orchestral,Piano,Lisa Parker; James Morgan; Dan Wright; Christina Cook; Sylvia Oconnor,Mellow; Easy Listening; Soft; Relaxed; Calm; reflective,Piano; Sound Effects
04/13/20 12:30PM,15,Multi-lateral web-enabled productivity,Marrón cuero,Juan Carlos Adadia,Bibiana Pinilla,1:00,Rock,Indie,Scott Sanchez; Jordan Jensen; Cynthia Wright; Derek Barrett; Katie Murray,Mellow; Feel Good; Relaxed; Peaceful; Uplifting; coffeeshop,Acoustic Guitar; Drums; Keyboards; Strings
04/13/20 12:58PM,16,Customizable interactive Graphic Interface,Lima,Daniela Barrios Gilabert,Chus Gámez Ojeda,1:00,Orchestral,Piano,Ashley Barker; Amber Lee; Melissa Barnes; Curtis Webb; Hunter Smith,Chill; Easy Listening; Mellow; coffeeshop; Feel Good; Happy,Acoustic Guitar; Electronic Drums; Keyboards; Percussion
04/13/20 03:21PM,17,Down-sized tertiary structure,Naranja,Ignacio Lopez,Benigno Cornejo Castelló,1:43,R&B,Contemporary,Joseph Glenn; Eric Smith; Annette Payne; Dr. Joseph Johnson; Kenneth Butler,Relaxed; Modern; fusion; Laid Back; jazz; Funky; Lounge; alternative r&b; Synths,Drums; Electronic Drums; Percussion; Bass Guitar; Rhodes; Synthesizer
